Detector Coordinates (mm)
       X       Y       Z
   -3350     980    2200
    4650     -80    2200
    3650     -80    2200
    2650     -80    2200
    1650     -80    2200
     650     -80    2200
    -350     -80    2200
   -1350     -80    2200
   -2350     -80    2200
   -3350     -80    2200
    4650   -1140    2200
    3650   -1140    2200
    2650   -1140    2200
    1650   -1140    2200
     650   -1140    2200
    -350   -1140    2200
   -1350   -1140    2200
   -2350   -1140    2200
   -3350   -1140    2200
    4650   -2200    2200
    3650   -2200    2200
    2650   -2200    2200
    1650   -2200    2200
     650   -2200    2200
    -350   -2200    2200
   -1350   -2200    2200
   -2350   -2200    2200
   -3350   -2200    2200
    4650   -3260    2200
    3650   -3260    2200
    2650   -3260    2200
    1650   -3260    2200
     650   -3260    2200
    -350   -3260    2200
   -1350   -3260    2200
   -2350   -3260    2200
   -3350   -3260    2200
    4650   -4320    2200
    3650   -4320    2200
    2650   -4320    2200
    1650   -4320    2200
     650   -4320    2200
    -350   -4320    2200
   -1350   -4320    2200
   -2350   -4320    2200
   -3350   -4320    2200
    4650   -3650    1600
    3650   -3650    1600
    2650   -3650    1600
    1650   -3650    1600
     650   -3650    1600
    -350   -3650    1600
   -1350   -3650    1600
   -2350   -3650    1600
   -3350   -3650    1600
    4650   -3650     825
    3650   -3650     825
    2650   -3650     825
    1650   -3650     825
     650   -3650     825
    -350   -3650     825
   -1350   -3650     825
   -2350   -3650     825
   -3350   -3650     825
    4650   -3650      50
    3650   -3650      50
    2650   -3650      50
    1650   -3650      50
     650   -3650      50
    -350   -3650      50
   -1350   -3650      50
   -2350   -3650      50
   -3350   -3650      50
    4650   -3650    -725
    3650   -3650    -725
    2650   -3650    -725
    1650   -3650    -725
     650   -3650    -725
    -350   -3650    -725
   -1350   -3650    -725
   -2350   -3650    -725
   -3350   -3650    -725
    4650   -3650   -1500
    3650   -3650   -1500
    2650   -3650   -1500
    1650   -3650   -1500
     650   -3650   -1500
    -350   -3650   -1500
   -1350   -3650   -1500
   -2350   -3650   -1500
   -3350   -3650   -1500
    2600    3100    1600
    3200    3100    1600
    4000    3100    1600
    2600    3100     825
    3200    3100     825
    4000    3100     825
    2600    3100      50
    3200    3100      50
    4000    3100      50
    2600    3100    -725
    3200    3100    -725
    4000    3100    -725
    2600    3100   -1500
    3200    3100   -1500
    4000    3100   -1500
    2600    2050    1600
    3200    2050    1600
    4000    2050    1600
    2600    2050     825
    3200    2050     825
    4000    2050     825
    2600    2050      50
    3200    2050      50
    4000    2050      50
    2600    2050    -725
    3200    2050    -725
    4000    2050    -725
    2600    2050   -1500
    3200    2050   -1500
    4000    2050   -1500
    2600    1000    1600
    3200    1000    1600
    4000    1000    1600
    2600    1000     825
    3200    1000     825
    4000    1000     825
    2600    1000      50
    3200    1000      50
    4000    1000      50
    2600    1000    -725
    3200    1000    -725
    4000    1000    -725
    2600    1000   -1500
    3200    1000   -1500
    4000    1000   -1500
    2600     -50    1600
    3200     -50    1600
    4000     -50    1600
    2600     -50     825
    3200     -50     825
    4000     -50     825
    2600     -50      50
    3200     -50      50
    4000     -50      50
    2600     -50    -725
    3200     -50    -725
    4000     -50    -725
    2600     -50   -1500
